#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
  77|132.544307  11.602345|8760.211| 166.179|99.999|0.999|17.656|0.014|99.999|0.999|   3.81| 4.94|  -9.04| 2.08|  0|999.999|999.999
  78|132.806758  11.603071|4872.752| 169.599|99.999|0.999|20.962|0.050|18.673|0.082|  11.01|25.64|   5.24|36.59| 30|999.999|999.999
  79|132.560227  11.602636|8524.453| 169.972|99.999|0.999|18.946|0.017|99.999|0.999|  10.65| 4.46|  -7.38| 6.60|  0|999.999|999.999
  80|133.055593  11.603533|1186.459| 174.582|22.194|0.999|21.141|0.234|18.690|0.999|  17.91|15.89| -36.41|30.88|  1|999.999|999.999
  81|132.883998  11.603503|3728.437| 174.973|13.821|0.017|13.238|0.030|12.512|0.005|  -1.84| 2.02|   0.71| 0.77| 99|999.999|999.999
  82|133.062456  11.603614|1084.814| 175.825|99.999|0.999|21.423|0.150|18.998|0.999|   1.61|17.20| -16.84|22.79| 36|999.999|999.999
  83|132.763887  11.603756|5507.850| 180.816|20.989|0.139|19.064|0.017|17.057|0.047|  -6.43|13.33| -19.28|20.71|  0|999.999|999.999
  84|132.865164  11.604283|4007.451| 186.996|18.370|0.026|17.441|0.010|16.394|0.002|   8.87| 1.37|  -0.65| 3.15|  2|999.999|999.999
  85|132.607732  11.603855|7820.898| 186.668|21.188|0.101|22.106|0.304|99.999|0.999|  42.30|22.85|  -2.74|23.09|  4|999.999|999.999
  86|132.870644  11.604927|3926.255| 196.658|21.333|0.080|19.460|0.069|17.279|0.013|   4.28| 4.28|   1.84| 3.69| 33|999.999|999.999
  87|132.618083  11.604489|7667.584| 195.903|99.999|0.999|21.644|0.271|20.426|0.999|  58.31|56.64|  -9.70|36.12|  0|999.999|999.999
  88|132.770782  11.604884|5405.684| 197.708|99.999|0.999|20.502|0.061|18.629|0.028|  13.57|12.85| -26.66|16.48|  0|999.999|999.999
  89|132.712253  11.604787|6272.726| 197.621|99.999|0.999|18.692|0.034|17.124|0.013|  12.44| 7.85| -12.44|14.40|  0|999.999|999.999
  90|132.941994  11.605099|2869.224| 198.551|11.769|0.011|11.070|0.027|10.204|0.055|  -7.91| 3.87| -50.16| 5.47|  0|999.999|999.999
  91|132.978472  11.605179|2328.837| 199.546|17.586|0.008|16.621|0.035|15.407|0.000|  28.62| 6.37|  -8.27|12.26|  0|999.999|999.999
  92|132.635023  11.604770|7416.680| 199.592|99.999|0.999|20.935|0.089|18.692|0.999|  10.00| 6.01| -11.90| 9.52| 20|999.999|999.999
  93|132.982131  11.605456|2274.625| 203.715|18.541|0.026|17.993|0.031|17.213|0.007|  18.56| 5.95| -17.67|12.02|  0|999.999|999.999
  94|132.978782  11.605955|2324.238| 211.272|22.110|0.276|21.143|0.146|18.738|0.999|  95.68|56.47|  -2.98|44.09|  0|999.999|999.999
  95|132.892984  11.606074|3595.273| 213.723|99.999|0.999|21.395|0.346|18.882|0.999| -33.68|13.15|  14.64|41.35| 22|999.999|999.999
  96|132.884732  11.606366|3717.510| 218.242|99.999|0.999|20.916|0.182|17.864|0.999|  20.65|33.68| -65.33|24.63|  0|999.999|999.999
  97|132.735922  11.606289|5922.074| 219.725|20.435|0.167|20.290|0.129|20.320|0.043|  -1.49| 6.72| -19.22| 9.70|  2|999.999|999.999
  98|132.953604  11.606664|2697.212| 222.114|99.999|0.999|20.633|0.033|17.825|0.014| -31.06|14.52|  29.16| 7.44|  0|999.999|999.999
  99|133.072971  11.607074| 929.050| 228.158|19.054|0.054|17.976|0.016|16.688|0.017|  14.04| 7.38|  -7.68| 5.06|  0|999.999|999.999
 100|133.041275  11.607309|1398.521| 231.638|21.807|0.065|20.651|0.065|19.480|0.070|  52.30|17.31|  -5.59|16.24|  0|999.999|999.999
 101|132.926520  11.607555|3098.421| 235.784|22.002|0.999|22.469|0.167|99.999|0.999|  21.12|31.83| -17.14|24.34| 11|999.999|999.999
 102|132.890057  11.607512|3638.607| 235.503|21.862|0.245|20.256|0.128|18.909|0.137|   7.44| 9.04|  -6.72|15.95| 16|999.999|999.999
