#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
1104|132.723050  11.802958|6107.711|3192.915|99.999|0.999|21.114|0.049|18.901|0.999|  12.02| 6.31|  24.28| 9.10| 11|999.999|999.999
1105|132.985585  11.803468|2221.364|3197.099|14.536|0.002|13.946|0.004|13.273|0.000|   1.07| 3.15|  -2.98| 3.27| 99|999.999|999.999
1106|132.632274  11.803313|7451.288|3200.799|22.044|0.136|20.641|0.169|17.924|0.056|   7.50|18.74|   2.08|11.66| 34|999.999|999.999
1107|133.001566  11.803773|1984.806|3201.676|18.278|0.006|17.447|0.009|16.523|0.001|  10.71| 0.65|   4.17| 2.14|  0|999.999|999.999
1108|132.855293  11.803762|4150.093|3202.574|14.878|0.005|14.177|0.001|13.386|0.006|  -0.30| 0.95|  -0.42| 0.71| 99| 17.193|  0.168
1109|133.066121  11.804102|1029.323|3206.728|17.116|0.005|16.402|0.005|15.591|0.005|  10.65| 1.31|  -0.30| 1.78|  0|999.999|999.999
1110|132.994983  11.804114|2082.240|3206.835|16.371|0.007|15.535|0.013|14.625|0.009|   0.24| 1.55|  -2.02| 2.80| 96|999.999|999.999
1111|132.564825  11.803569|8449.413|3206.989|19.701|0.999|18.187|0.010|16.454|0.015| -11.72| 3.09|   4.52| 4.76|  1|999.999|999.999
1112|133.035933  11.804389|1476.121|3210.977|14.278|0.004|13.730|0.003|13.075|0.002|  12.02| 0.48|  -7.32| 2.08|  0| 20.329|  0.150
1113|132.992076  11.804451|2125.273|3211.934|17.071|0.009|16.043|0.011|14.879|0.006|   1.49| 0.42|  -2.26| 2.44| 92|999.999|999.999
1114|132.591459  11.804011|8055.280|3212.721|22.105|0.268|20.447|0.105|18.215|0.077|   2.44|14.10|   7.62|12.67| 36|999.999|999.999
1115|132.755142  11.805083|5632.613|3224.298|21.207|0.178|19.990|0.082|18.801|0.007|  19.28| 6.37|  -1.55| 7.91|  0|999.999|999.999
1116|132.745466  11.805347|5775.838|3228.506|14.344|0.005|13.770|0.010|13.101|0.015|   0.36| 1.07|  -1.78| 1.49| 99| 33.744|  0.099
1117|132.553272  11.805125|8620.297|3230.944|99.999|0.999|17.777|0.005|99.999|0.999|  -2.02| 5.30|  10.12| 2.92|  0|999.999|999.999
1118|132.972306  11.805787|2417.898|3232.195|13.256|0.004|12.712|0.008|12.054|0.013|   2.86| 5.30|  -5.18| 3.87| 94|999.999|999.999
1119|132.788523  11.805724|5138.472|3233.312|13.928|0.002|13.369|0.007|12.727|0.003|  -0.18| 1.31|  -1.49| 1.43|100|999.999|999.999
1120|132.632966  11.805457|7440.979|3233.199|22.660|0.651|21.882|0.345|20.566|0.999|   7.91|12.97|  32.96|23.15| 23|999.999|999.999
1121|132.584121  11.805573|8163.808|3236.586|22.011|0.287|20.689|0.112|18.507|0.248|   2.98|18.27|  -8.33|26.24| 34|999.999|999.999
1122|132.884969  11.806070|3710.733|3237.115|18.768|0.007|18.212|0.019|17.521|0.018|  12.26| 3.69|  -9.64| 3.93|  0|999.999|999.999
1123|132.850359  11.806076|4223.087|3237.628|13.393|0.008|12.823|0.005|12.173|0.013|  -0.30| 0.42|  -0.65| 0.89|100|999.999|999.999
1124|132.829068  11.806037|4538.272|3237.347|21.376|0.113|19.828|0.056|17.635|0.024|  -2.08| 5.95|  10.77|10.00| 18|999.999|999.999
1125|132.755079  11.805956|5633.534|3237.492|17.831|0.006|16.735|0.008|15.513|0.006|  -0.59| 0.48|   2.92| 1.37| 88|999.999|999.999
1126|132.992251  11.806464|2122.667|3242.364|19.500|0.041|18.971|0.010|18.265|0.009|  10.65| 5.53| -11.42| 5.24|  0|999.999|999.999
1127|132.752925  11.806487|5665.404|3245.569|20.515|0.104|19.446|0.048|18.241|0.039|  10.47| 6.13|   6.72| 3.33|  3|999.999|999.999
1128|132.547079  11.806117|8711.893|3246.184|99.999|0.999|21.998|0.109|99.999|0.999| -21.66|23.32| -14.88| 7.26| 44|999.999|999.999
1129|132.885730  11.806694|3699.459|3246.532|14.795|0.005|14.171|0.006|13.482|0.002|   1.13| 0.30|  -1.55| 1.31| 99| 34.528|  0.126
1130|132.612460  11.806379|7744.413|3247.791|21.620|0.176|21.116|0.173|20.323|0.078|  24.10|10.29|  -0.18|28.44|  6|999.999|999.999
1131|132.621053  11.806577|7617.246|3250.503|20.851|0.055|19.269|0.035|17.226|0.014|  -0.48| 3.09|   0.24| 3.51| 56|999.999|999.999
1132|132.601856  11.806652|7901.337|3252.283|21.456|0.017|21.318|0.240|20.355|0.999|  44.33|28.44|  31.18|23.86|  0|999.999|999.999
1133|132.864732  11.807273|4010.288|3255.532|22.019|0.089|21.189|0.347|20.359|0.999|  13.86|16.48| -16.72|23.15| 12|999.999|999.999
1134|132.846987  11.807363|4272.983|3257.140|15.158|0.001|14.320|0.004|13.359|0.001|  -0.65| 0.83|  -2.02| 0.77| 99|999.999|999.999
1135|132.756724  11.807247|5609.157|3256.979|21.166|0.227|21.818|0.127|99.999|0.999|   0.77| 6.66| -10.41|34.63| 45|999.999|999.999
1136|132.850590  11.807409|4219.640|3257.786|18.191|0.019|17.018|0.005|15.712|0.005|  -0.95| 0.83|  -0.18| 1.01| 91|999.999|999.999
1137|132.800104  11.807413|4966.998|3258.642|15.571|0.002|14.873|0.008|14.107|0.009|  -1.90| 0.89|   0.83| 1.19| 97| 33.851|  0.174
1138|132.830066  11.807493|4523.460|3259.348|19.358|0.011|17.921|0.032|16.195|0.002|  -0.12| 3.75|   0.54| 4.05| 82|999.999|999.999
1139|132.858381  11.807589|4104.311|3260.396|19.304|0.012|17.881|0.005|16.242|0.019|  -0.89| 3.87|  -0.59| 1.49| 82|999.999|999.999
1140|132.842249  11.807751|4343.105|3263.062|16.572|0.004|15.694|0.005|14.705|0.001|  -1.61| 1.61|  -1.01| 1.55| 97|999.999|999.999
1141|132.789839  11.807783|5118.939|3264.417|22.058|0.999|20.674|0.012|18.863|0.020|  -5.77|17.14|   3.69|13.69| 51|999.999|999.999
1142|132.991102  11.808274|2139.655|3269.738|23.241|0.999|20.456|0.057|18.090|0.014|  17.02| 5.47|  13.80| 9.34|  2|999.999|999.999
1143|132.745933  11.808091|5768.862|3269.972|17.084|0.004|16.137|0.011|15.059|0.007|   0.18| 1.07|   1.13| 2.08| 96|999.999|999.999
1144|133.070175  11.808667| 969.298|3275.759|15.287|0.003|14.448|0.046|13.430|0.006|   0.48| 1.90|   1.78| 3.03| 99|999.999|999.999
1145|132.719006  11.808379|6167.438|3274.951|21.574|0.026|21.382|0.151|20.571|0.999|  -8.63|13.33|   8.15|23.32| 56|999.999|999.999
1146|133.074234  11.808890| 909.229|3279.153|21.697|0.223|21.365|0.197|20.681|0.999|   3.33|26.24|  20.29|16.60| 33|999.999|999.999
1147|132.836270  11.808740|4431.601|3278.114|20.187|0.073|18.547|0.042|16.592|0.016|  -3.93| 3.99|   4.34| 5.71| 54|999.999|999.999
1148|132.828735  11.808986|4543.142|3281.942|20.768|0.078|20.316|0.094|19.741|0.063|  16.12|14.46|   1.90| 2.32|  3|999.999|999.999
1149|132.612449  11.808689|7744.504|3282.724|13.881|0.013|13.246|0.004|12.584|0.005|   5.41| 1.84|   0.12| 2.56| 90|999.999|999.999
1150|132.868584  11.809175|3953.243|3284.247|21.639|0.999|21.011|0.217|19.556|0.104|   4.82|17.49|  -8.15|19.16| 37|999.999|999.999
1151|132.942120  11.809297|2864.689|3285.411|16.556|0.001|15.945|0.009|15.263|0.003|  14.22| 2.86|  -6.31| 4.94|  0|999.999|999.999
1152|132.897312  11.809297|3527.977|3285.773|21.946|0.161|20.120|0.156|18.837|0.275|   9.10|20.77| -30.58|31.77|  0|999.999|999.999
1153|132.994892  11.809422|2083.534|3287.090|18.736|0.026|17.698|0.017|16.527|0.014|  14.82| 2.38|  -6.43| 1.49|  0|999.999|999.999
1154|132.640008  11.808976|7336.649|3286.177|20.504|0.095|19.481|0.061|18.280|0.017|   6.25| 8.21|   1.55| 3.99| 24|999.999|999.999
1155|132.792199  11.809407|5083.968|3288.919|22.480|0.808|20.516|0.069|18.243|0.105|   1.31|15.41|  -6.31| 7.85| 37|999.999|999.999
1156|132.629231  11.809127|7496.133|3288.792|21.361|0.043|20.341|0.103|19.304|0.018|  18.27| 4.17|   4.64|13.09|  2|999.999|999.999
1157|132.940568  11.809611|2887.659|3290.165|20.814|0.189|20.974|0.094|20.876|0.083|  28.56|16.84| -11.07|17.79|  1|999.999|999.999
1158|133.061553  11.809722|1096.900|3291.682|21.849|0.094|20.693|0.135|18.222|0.999|  10.35| 4.58|  -8.45|13.03| 19|999.999|999.999
1159|132.800942  11.809641|4954.542|3292.311|14.471|0.002|13.900|0.004|13.238|0.002|   0.54| 1.13|   1.90| 1.01| 99| 33.772|  0.087
1160|132.832872  11.810446|4481.866|3303.951|17.888|0.005|16.881|0.011|15.812|0.000|   5.89| 1.49|  -4.88| 1.61|  5|999.999|999.999
1161|132.981615  11.810602|2280.046|3304.959|14.549|0.004|13.883|0.010|13.149|0.006|   0.89| 4.46|  -6.84| 2.86| 35| 37.485|  0.358
1162|132.836717  11.810460|4424.944|3304.105|21.469|0.012|20.805|0.144|19.996|0.004|  18.27|17.73| -35.16|16.84|  0|999.999|999.999
1163|132.787098  11.810483|5159.457|3305.293|14.688|0.009|13.992|0.004|13.221|0.002|   0.42| 0.65|   8.03| 1.19|  2| 32.991|  0.175
1164|132.747638  11.810835|5743.556|3311.412|21.851|0.234|20.763|0.073|19.445|0.174|   8.45|22.49|   7.91|32.61| 28|999.999|999.999
1165|132.758775  11.810966|5578.701|3313.164|22.732|0.999|21.121|0.181|19.593|0.137|  18.27| 5.77|   3.51|19.22| 16|999.999|999.999
1166|132.861814  11.811250|4053.416|3315.694|11.016|0.040|10.452|0.019| 9.776|0.038|   2.20| 3.09|  -6.31| 3.51| 84|  4.026|  0.024
1167|132.631993  11.810989|7455.196|3316.855|21.725|0.191|19.771|0.061|17.480|0.006|   3.87| 3.63| -11.13| 9.64|  6|999.999|999.999
1168|132.832952  11.811318|4480.663|3317.128|18.576|0.010|18.861|0.033|19.139|0.006|   5.24| 4.64|  -6.43| 7.02| 11|999.999|999.999
1169|132.948924  11.811514|2763.938|3318.881|21.076|0.131|19.478|0.044|17.611|0.001|  10.59| 2.50| -12.55| 9.58|  0|999.999|999.999
1170|132.553970  11.811153|8609.753|3322.052|99.999|0.999|20.914|0.044|99.999|0.999|  -7.56|10.00|  -7.91| 7.56| 35|999.999|999.999
1171|132.783959  11.811736|5205.890|3324.291|18.555|0.024|17.047|0.014|15.254|0.039|  -3.69| 1.73| -25.35| 4.17|  0|999.999|999.999
1172|132.798035  11.811866|4997.526|3325.987|19.122|0.027|18.072|0.005|16.886|0.018|  10.17| 5.65|  -7.56| 3.99|  0|999.999|999.999
1173|132.579079  11.811539|8238.211|3326.951|21.407|0.084|19.559|0.082|17.415|0.019|  27.07| 7.38|  -8.21| 0.24|  0|999.999|999.999
1174|132.842947  11.812047|4332.694|3328.003|22.733|0.149|20.598|0.195|18.443|0.012|   4.11|13.27|   8.33|21.48| 34|999.999|999.999
1175|132.954768  11.812239|2677.425|3329.823|21.486|0.250|21.008|0.059|20.249|0.052|  19.69| 8.63| -20.47|14.28|  2|999.999|999.999
1176|133.048038  11.812383|1296.898|3331.867|19.964|0.031|18.416|0.013|16.551|0.014|  -2.92| 3.57|   0.24| 5.00| 74|999.999|999.999
1177|132.743770  11.812202|5800.780|3332.168|16.405|0.004|15.571|0.005|14.658|0.004|  -0.83| 1.19|   0.12| 1.67| 98|999.999|999.999
1178|132.857674  11.812671|4114.675|3337.234|17.140|0.008|16.156|0.011|15.049|0.008|  -0.59| 1.25|   0.30| 0.71| 97|999.999|999.999
1179|132.656250  11.812333|7096.172|3336.431|21.088|0.140|19.290|0.012|17.208|0.024|   7.50| 6.72|  -6.54| 4.82|  7|999.999|999.999
1180|132.570879  11.812717|8359.503|3345.061|21.034|0.999|19.249|0.053|17.278|0.067|  -9.94| 4.28|   0.77| 8.98| 24|999.999|999.999
1181|132.845474  11.813715|4295.260|3353.184|13.257|0.003|12.691|0.004|12.051|0.011|  -0.42| 0.54|   2.38| 0.83| 99|999.999|999.999
1182|133.094605  11.813891| 607.734|3354.877|15.293|0.003|14.586|0.003|13.821|0.012|   1.13| 1.73|   0.65| 2.50| 99|999.999|999.999
1183|133.103695  11.813945| 473.215|3355.756|18.567|0.026|17.109|0.008|15.492|0.015|  10.47| 2.50|  -5.47| 0.89|  0|999.999|999.999
1184|132.989900  11.813947|2157.383|3355.515|21.122|0.179|19.503|0.015|18.241|0.183|  14.88| 4.34|   4.82| 6.90|  0|999.999|999.999
1185|133.101878  11.814119| 500.096|3358.370|19.734|0.030|18.122|0.031|16.127|0.013|  10.29| 1.78|  -8.15| 2.62|  0|999.999|999.999
1186|132.810999  11.814043|4805.582|3358.686|18.677|0.012|17.390|0.008|15.950|0.002|  -0.42| 1.78|   2.20| 2.86| 88|999.999|999.999
1187|132.798510  11.814040|4990.451|3358.845|14.364|0.007|13.779|0.006|13.113|0.006|   2.08| 0.30|  -1.43| 1.55| 99| 36.777|  0.092
1188|132.888443  11.814254|3659.172|3360.798|13.292|0.002|12.704|0.002|12.023|0.016|  -0.30| 1.07|  -0.71| 0.48|100| 32.611|  0.050
1189|132.899326  11.814311|3498.084|3361.553|14.206|0.006|13.608|0.008|12.950|0.006|  -0.06| 1.31|   0.24| 2.50|100|999.999|999.999
1190|132.931088  11.814494|3027.917|3364.059|16.617|0.001|15.727|0.007|14.775|0.001|   1.13| 2.86|  -4.94| 2.20| 62|999.999|999.999
1191|132.885813  11.814459|3698.107|3363.927|11.241|0.011|11.067|0.007|10.798|0.030|  -1.84| 1.01|   2.02| 0.59| 96|999.999|999.999
1192|132.877869  11.814584|3815.698|3365.912|16.723|0.005|15.818|0.011|14.854|0.008|  -1.01| 0.95|   1.31| 1.07| 97|999.999|999.999
1193|132.812558  11.814657|4782.488|3367.937|19.033|0.005|17.660|0.003|16.048|0.034|  -2.20| 3.75|   6.84| 4.28| 25|999.999|999.999
1194|132.753356  11.814655|5658.822|3369.039|15.281|0.002|14.614|0.010|13.876|0.002|   0.30| 1.01|  -0.42| 0.65| 99| 33.673|  0.208
1195|132.759772  11.814858|5563.851|3371.970|17.328|0.011|16.317|0.008|15.198|0.008|   0.83| 1.19|   1.07| 2.26| 95|999.999|999.999
1196|132.876300  11.815173|3838.910|3374.828|19.327|0.062|17.735|0.017|15.957|0.013|  -3.75| 6.07|  -2.92| 2.86| 64|999.999|999.999
1197|132.877372  11.815215|3823.049|3375.449|13.921|0.006|13.315|0.003|12.618|0.024|  -0.18| 1.07|   1.78| 0.77|100| 34.526|  0.113
1198|132.856190  11.815273|4136.595|3376.588|19.148|0.044|17.597|0.010|15.843|0.008|   0.83| 0.59|   1.49| 1.84| 83|999.999|999.999
1199|132.959671  11.815565|2604.806|3380.077|99.999|0.999|21.058|0.321|19.259|0.030|  32.31|36.59|  -8.51|17.97|  1|999.999|999.999
1200|132.652800  11.815359|7147.137|3382.276|13.589|0.003|12.989|0.009|12.329|0.004|  -0.24| 2.56|  -1.73| 1.19|100| 35.585|  0.072
1201|132.745989  11.815976|5767.843|3389.175|14.089|0.005|13.541|0.008|12.903|0.010|  -0.30| 0.42|   0.59| 0.89|100|999.999|999.999
1202|132.722348  11.815938|6117.774|3389.150|15.893|0.010|15.149|0.010|14.331|0.006|   1.67| 0.95|  -1.78| 2.92| 96|999.999|999.999
1203|132.981301  11.816240|2284.627|3390.193|20.770|0.142|20.395|0.115|19.803|0.030|  22.85|12.67| -19.40|10.89|  0|999.999|999.999
1204|132.876895  11.816193|3830.082|3390.246|13.056|0.007|12.053|0.006|11.034|0.026|  -0.18| 0.77|   1.07| 1.73| 98|999.999|999.999
1205|132.614589  11.815926|7712.606|3392.043|21.010|0.093|19.299|0.071|17.399|0.002|   6.54| 8.33|  12.79| 7.74|  1|999.999|999.999
1206|132.599009  11.815937|7943.151|3392.746|13.936|0.008|13.438|0.007|12.851|0.017|  -0.30| 1.13|  12.26| 2.62|  0| 48.234|  0.178
1207|132.795437  11.816376|5035.882|3394.229|17.041|0.005|15.978|0.005|14.808|0.001|   1.19| 1.61|  -1.25| 1.43| 95|999.999|999.999
1208|132.782626  11.816380|5225.524|3394.520|99.999|0.999|21.240|0.252|19.360|0.999|  44.39|10.06| -18.62|13.63|  0|999.999|999.999
1209|133.070505  11.816711| 964.371|3397.374|18.703|0.006|17.216|0.008|15.509|0.013|  -3.87| 1.67|  -3.51| 5.00| 62|999.999|999.999
1210|132.811738  11.816641|4794.586|3397.949|16.184|0.002|15.380|0.005|14.519|0.002|   0.59| 0.59|   0.00| 2.62| 98|999.999|999.999
1211|132.746090  11.816691|5766.334|3399.989|17.344|0.011|16.361|0.009|15.271|0.002|  -0.59| 1.37|   0.65| 0.95| 96|999.999|999.999
1212|132.853962  11.816871|4169.545|3400.779|13.840|0.010|13.244|0.004|12.571|0.011|  -0.36| 0.83|   1.13| 1.01|100|999.999|999.999
1213|132.758841  11.817019|5577.579|3404.664|13.885|0.007|13.302|0.010|12.606|0.006|  -0.48| 1.84|  -1.43| 1.84|100| 59.671|  0.135
1214|132.840080  11.817356|4375.026|3408.310|15.979|0.005|15.204|0.008|14.364|0.007|   1.07| 1.13|   0.77| 0.83| 97|999.999|999.999
1215|132.722897  11.817198|6109.615|3408.187|21.003|0.080|19.374|0.056|17.315|0.003|   0.06| 6.31|   2.62| 2.80| 52|999.999|999.999
1216|133.092610  11.817487| 637.237|3409.228|15.595|0.005|14.840|0.003|13.983|0.009|   0.95| 1.07|  -0.83| 2.02| 98|999.999|999.999
1217|132.803329  11.817381|4919.047|3409.281|99.999|0.999|21.444|0.242|19.540|0.999|  10.23| 9.64| -17.02|10.23| 25|999.999|999.999
1218|132.638806  11.817257|7354.182|3411.396|15.054|0.007|14.379|0.001|13.657|0.000|   1.43| 2.50|   1.13| 1.37| 99|999.999|999.999
1219|132.606554  11.817313|7831.453|3413.289|21.989|0.269|20.976|0.216|20.460|0.213|  -3.33|15.95| -13.21|18.98| 33|999.999|999.999
1220|132.952942  11.818088|2704.376|3418.251|20.693|0.060|19.419|0.019|17.963|0.016|   2.02| 6.31| -13.69| 4.70|  2|999.999|999.999
1221|132.920074  11.818210|3190.901|3420.318|14.387|0.002|13.799|0.010|13.137|0.007|  -1.73| 1.07|  -1.01| 2.50|100|999.999|999.999
1222|132.847931  11.818283|4258.799|3422.204|17.171|0.001|16.213|0.011|15.164|0.002|  -0.54| 0.95|   0.36| 1.31| 96|999.999|999.999
1223|132.910066  11.818357|3339.030|3422.631|21.409|0.080|21.331|0.156|20.472|0.999| -39.75| 2.92| -11.78|22.43|  4|999.999|999.999
1224|132.613927  11.818040|7722.326|3424.035|20.783|0.053|19.486|0.058|17.929|0.007|   9.22| 9.28|   4.82| 7.02|  7|999.999|999.999
1225|132.893997  11.818568|3576.898|3425.965|16.463|0.007|15.487|0.003|14.431|0.008|   1.31| 1.19|  -0.54| 0.59| 97|999.999|999.999
1226|133.075030  11.818721| 897.392|3427.790|21.959|0.261|21.338|0.304|20.582|0.999| -13.09|52.84| -24.57|54.74| 20|999.999|999.999
1227|133.008986  11.818980|1874.827|3431.568|13.897|0.005|13.335|0.014|12.677|0.011|  -0.30| 1.61|  -5.47| 2.86| 94|999.999|999.999
1228|132.858138  11.819139|4107.684|3435.014|13.817|0.014|13.236|0.008|12.578|0.012|   0.89| 0.95|   0.48| 0.83|100|999.999|999.999
1229|132.589220  11.818677|8087.922|3434.494|21.408|0.138|20.752|0.099|19.905|0.006|  11.25| 9.88|   1.01| 9.22| 23|999.999|999.999
1230|132.996251  11.819413|2063.321|3438.142|20.466|0.079|19.756|0.019|19.035|0.061|   9.64| 5.12|   8.45|11.54|  3|999.999|999.999
1231|133.084507  11.819572| 757.137|3440.703|99.999|0.999|21.391|0.219|18.680|0.999| -43.38|24.10|   7.26|47.84|  6|999.999|999.999
1232|133.075834  11.819938| 885.478|3446.198|19.792|0.020|18.058|0.025|15.819|0.009|  37.43| 3.81| -31.77| 4.11|  0|999.999|999.999
1233|132.583869  11.819734|8167.056|3450.668|14.097|0.014|13.497|0.011|12.858|0.008|  -4.05| 2.98|  -1.37| 1.84| 98| 33.903|  0.080
1234|132.877404  11.820331|3822.476|3452.792|13.294|0.007|12.695|0.004|12.011|0.012|   0.18| 1.43|   0.77| 0.65|100|999.999|999.999
1235|132.845674  11.820302|4292.174|3452.767|13.735|0.003|13.273|0.007|12.720|0.013|   0.71| 1.37|   0.95| 0.65|100|999.999|999.999
1236|132.617927  11.820115|7663.077|3455.265|21.010|0.112|19.206|0.029|17.056|0.013|   6.07| 6.60|  -9.34| 5.24|  3|999.999|999.999
1237|133.042868  11.820741|1373.355|3458.215|21.475|0.159|19.580|0.069|17.415|0.006|  -4.46| 6.19|  -4.70| 8.57| 38|999.999|999.999
1238|132.841820  11.820703|4349.207|3458.876|22.237|0.317|20.767|0.097|18.636|0.058|   9.88|15.05|  13.03|15.35| 19|999.999|999.999
1239|133.062674  11.821047|1080.224|3462.898|21.880|0.150|21.163|0.150|19.041|0.999|  -9.94|16.48|   3.45|42.66| 56|999.999|999.999
1240|132.952668  11.821000|2708.390|3462.276|11.050|0.010|10.893|0.014|10.646|0.021|  -1.13| 2.08|  -5.83| 2.80| 84|999.999|999.999
1241|132.838420  11.821120|4399.539|3465.234|21.975|0.999|20.501|0.174|18.246|0.016|   4.28| 5.59|  -5.77|15.23| 32|999.999|999.999
1242|132.941758  11.821361|2869.877|3467.807|22.036|0.999|20.988|0.218|19.717|0.002|  47.30|23.15|   6.25|25.70|  0|999.999|999.999
1243|132.665657  11.821490|6956.679|3474.585|20.012|0.044|18.898|0.004|17.642|0.013|   2.26| 4.11|   5.83| 8.98| 37|999.999|999.999
1244|132.972036  11.822063|2421.705|3478.265|21.776|0.999|21.368|0.073|19.608|0.999|  46.89|18.21|  -5.65| 3.21|  0|999.999|999.999
1245|132.969005  11.822008|2466.567|3477.448|18.752|0.024|17.136|0.008|15.265|0.010|   0.12| 6.49| -12.02| 4.28|  0|999.999|999.999
1246|132.860510  11.822299|4072.517|3482.753|14.071|0.010|13.485|0.009|12.808|0.009|  -0.65| 0.65|   0.71| 1.01|100|999.999|999.999
1247|132.812708  11.822522|4780.097|3486.828|14.753|0.008|14.144|0.008|13.470|0.005|   0.65| 1.25|  -2.80| 1.96| 99| 32.991|  0.154
1248|132.827256  11.822625|4564.764|3488.153|13.254|0.004|12.639|0.008|11.972|0.000|  -1.61| 2.14|   2.26| 1.61| 99|999.999|999.999
1249|132.626596  11.822312|7534.720|3488.204|21.223|0.156|20.847|0.072|20.202|0.008|  17.79| 5.41|  12.20|21.48|  6|999.999|999.999
1250|132.830107  11.823423|4522.536|3500.176|14.445|0.004|13.863|0.001|13.211|0.004|  -1.01| 1.61|   0.89| 1.96| 99|999.999|999.999
1251|133.029787  11.823724|1566.923|3503.307|13.946|0.006|13.370|0.003|12.717|0.016|   0.00| 1.25|   1.19| 0.59|100|999.999|999.999
1252|132.867283  11.824295|3972.223|3512.850|13.294|0.002|12.787|0.015|12.174|0.019|  -0.65| 1.07|   1.49| 1.49|100|999.999|999.999
1253|132.772595  11.824161|5373.827|3512.358|19.940|0.051|19.452|0.037|18.773|0.004|  21.72|10.95|   2.92| 7.14|  0|999.999|999.999
1254|132.756509  11.824219|5611.931|3513.559|15.476|0.005|14.729|0.007|13.912|0.011|  10.35| 1.25|   8.87| 0.89|  0|999.999|999.999
1255|133.051248  11.824732|1249.296|3518.574|18.547|0.018|17.266|0.008|15.864|0.006|   0.83| 1.07|  -0.30| 1.90| 89|999.999|999.999
1256|132.547658  11.824437|8702.667|3523.095|99.999|0.999|21.144|0.065|99.999|0.999|  -1.13|13.15| -11.72| 8.69| 32|999.999|999.999
1257|132.563800  11.824580|8463.841|3524.655|20.408|0.999|19.416|0.044|18.289|0.025|   5.35| 7.32|  -8.87|10.89|  7|999.999|999.999
1258|132.958126  11.825319|2627.547|3527.544|13.203|0.002|12.616|0.004|11.936|0.050|  -1.43| 1.61|   1.01| 2.02| 99|999.999|999.999
1259|132.922354  11.825434|3157.045|3529.521|22.108|0.157|21.281|0.054|20.071|0.999|  17.02|43.26|   1.07|10.35| 24|999.999|999.999
1260|132.786152  11.825329|5173.136|3529.745|15.497|0.014|14.800|0.007|14.034|0.002|   9.88| 1.19| -21.96| 1.01|  0|999.999|999.999
1261|132.785425  11.825715|5183.875|3535.595|18.517|0.016|17.267|0.021|15.835|0.001|   9.88| 2.14| -21.78| 1.31|  0|999.999|999.999
1262|132.548733  11.825387|8686.721|3537.420|99.999|0.999|17.754|0.001|99.999|0.999| -47.54| 5.95| -24.87| 3.87|  0|999.999|999.999
1263|132.901644  11.826074|3463.581|3539.371|18.794|0.029|17.272|0.013|15.628|0.005|   1.37| 1.31|  -1.01| 2.02| 87|999.999|999.999
1264|132.997305  11.826283|2047.646|3541.998|21.888|0.240|20.908|0.307|19.861|0.146|  85.98|49.44|   4.22|15.11|  0|999.999|999.999
1265|132.771842  11.826131|5384.923|3542.152|14.314|0.010|13.754|0.008|13.093|0.002|   0.30| 1.55|   0.54| 2.14|100|999.999|999.999
1266|132.756456  11.826187|5612.656|3543.315|13.257|0.006|12.649|0.006|11.965|0.019|  -0.12| 0.77|   0.71| 1.73|100|999.999|999.999
1267|132.917590  11.826623|3227.539|3547.522|22.086|0.057|22.256|0.150|99.999|0.999|   5.18|13.27|  13.92| 8.21| 35|999.999|999.999
1268|132.769732  11.826638|5416.146|3549.854|16.619|0.013|15.658|0.007|14.668|0.002|  12.14| 1.55|   3.63| 1.19|  0|100.209|  0.245
1269|132.924569  11.827120|3124.235|3554.991|15.702|0.004|14.956|0.010|14.158|0.006|  -1.78| 1.13|   0.00| 3.81| 98|999.999|999.999
1270|132.730290  11.826920|5999.926|3554.985|99.999|0.999|21.131|0.078|18.651|0.999| -17.25|23.74| -26.00| 5.77| 12|999.999|999.999
1271|132.832034  11.827525|4493.933|3562.168|16.530|0.002|15.674|0.008|14.765|0.004|   0.18| 0.83|  -0.54| 1.49| 97| 32.534|  0.214
1272|132.829681  11.827543|4528.766|3562.473|21.145|0.999|20.766|0.222|18.454|0.537| -16.01|25.41|  -0.54| 3.87| 41|999.999|999.999
1273|132.721881  11.827490|6124.375|3563.805|19.724|0.022|18.628|0.029|17.342|0.042|   1.43| 2.56| -24.39| 4.34|  0|999.999|999.999
1274|132.653787  11.828368|7132.133|3578.904|21.355|0.999|21.668|0.243|20.278|0.999|   3.27| 9.64| -38.50|43.79| 10|999.999|999.999
1275|132.954769  11.828762|2677.197|3579.624|13.259|0.002|12.682|0.005|12.013|0.048|   0.83| 1.13|  -0.18| 2.02|100| 32.633|  0.043
1276|132.892834  11.828840|3593.935|3581.275|13.401|0.008|12.854|0.005|12.235|0.012|   0.89| 1.49|   1.07| 0.71|100| 33.795|  0.067
1277|132.909512  11.829103|3347.066|3585.095|20.283|0.056|18.500|0.022|16.695|0.003|  -4.52| 4.11|  -0.12| 3.21| 66|999.999|999.999
1278|132.784005  11.829051|5204.830|3586.050|16.358|0.019|15.535|0.009|14.664|0.006|  -0.30| 0.48|   1.07| 1.61| 97|999.999|999.999
